product_id,name,price,healthy
18,Сappuccino,354,B
53,Panini with cyplenok,446,C
38,Panini with cyplenok,465,A
49,Ice latte,452,A
94,Panini with cyplenok,338,B
87,Latte,313,B
45,Ice latte,460,C
79,Latte,430,C
13,Latte,333,A
81,Сappuccino,352,B
11,Ice latte,331,B
76,Сappuccino,482,A
29,Latte,423,C
47,Latte,470,C
42,Latte,420,B
75,Panini with cyplenok,357,C
74,Latte,357,B
98,Сappuccino,467,B
25,Ice latte,476,C
49,Panini with cyplenok,348,A
70,Ice latte,484,B
61,Latte,318,A
62,Panini with cyplenok,331,C
92,Ice latte,456,C
83,Ice latte,349,C
55,Сappuccino,422,B
24,Сappuccino,359,A
7,Latte,385,B
72,Panini with cyplenok,312,B
83,Latte,402,B
43,Panini with cyplenok,483,B
84,Latte,325,A
44,Panini with cyplenok,402,A
24,Сappuccino,459,C
62,Ice latte,413,B
0,Latte,462,C
72,Latte,463,B
99,Ice latte,436,B
15,Ice latte,418,C
4,Latte,329,C
24,Latte,396,C
17,Ice latte,425,C
88,Сappuccino,314,C
16,Ice latte,320,C
19,Ice latte,417,B
96,Latte,341,B
14,Panini with cyplenok,413,B
76,Ice latte,463,B
97,Latte,362,A
70,Panini with cyplenok,473,C
