product_id,name,price,healthy
90,Panini with cyplenok,409,C
74,Latte,468,B
38,Panini with cyplenok,326,C
39,Latte,315,B
48,Ice latte,305,C
83,Panini with cyplenok,302,C
11,Latte,452,B
5,Latte,387,B
70,Сappuccino,384,C
52,Panini with cyplenok,366,C
41,Latte,418,A
55,Сappuccino,339,B
76,Сappuccino,401,A
39,Ice latte,376,C
9,Ice latte,336,A
70,Сappuccino,420,C
64,Latte,351,B
6,Panini with cyplenok,439,A
62,Ice latte,470,B
31,Ice latte,421,C
11,Latte,425,C
70,Panini with cyplenok,447,B
22,Ice latte,380,C
44,Ice latte,373,B
9,Latte,322,C
68,Сappuccino,317,C
68,Сappuccino,342,A
54,Panini with cyplenok,367,C
22,Panini with cyplenok,433,A
32,Latte,305,B
92,Latte,457,B
76,Panini with cyplenok,373,B
11,Latte,384,A
93,Panini with cyplenok,392,A
73,Сappuccino,430,A
31,Ice latte,365,A
97,Panini with cyplenok,336,C
91,Сappuccino,396,A
19,Ice latte,486,A
98,Сappuccino,451,B
70,Сappuccino,431,C
96,Latte,462,A
58,Panini with cyplenok,326,C
60,Panini with cyplenok,386,C
60,Panini with cyplenok,479,B
79,Panini with cyplenok,462,C
87,Panini with cyplenok,307,B
93,Сappuccino,304,B
11,Ice latte,347,C
8,Сappuccino,378,C
